Store Name,EAN/PLU,Root Article Code,LU,LV,SV Code,Description,Must Stock,Delisted,Store Selling Price,Cost Price,Vat,Case Qty,Margin %,DRS,Supplier,Article Linking
241 - RIALTO - O'LEARY,8000500369661,1032815,PCK,1,1,TIC TAC BERRY BLISS T100 49GRM,N,,2.85,28.08,23.00%,24,49.51%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,5020411112951,1032819,PCK,2,0,TIC TAC MINT T100 49GRM,N,,2.85,28.08,23.00%,24,49.51%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,8000500153383,1405362,PCK,0,0,TIC TAC FRESH MINT T200 98G,N,,4.10,19.56,23.00%,8,26.65%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,8000500228272,1405362,PCK,1,1,TIC TAC T200 FRESH ADVENTURE 98G,N,,4.20,19.56,23.00%,8,28.40%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,80838203,1868952,PCK,0,0,MENTOS CLEANBREATH BERRY MINT 21GRM,N,,1.65,10.00,23.00%,12,37.88%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,80829010,1868952,PCK,1,1,MENTOS CLEANBREATH INTENSE MINT 21GRM,N,,1.65,10.00,23.00%,12,37.88%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,986695,1868954,PCK,0,0,MENTOS CLEANBREATH MXD COUNTER UNIT 21GRM,Y,,1.00,26.68,23.00%,48,31.63%,N,AUTODROP - AUTODROP MRPI - 1AMBIENT,*
241 - RIALTO - O'LEARY,80785385,1966574,PCK,0,0,TIC TAC TWO FRESH MILD SPEARMINT 38.5GRM,N,,2.49,18.72,23.00%,16,42.20%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,80798026,1966574,PCK,1,1,TIC TAC TWO RASPBERRY LEMON FLAVOUR 38.5GRM,N,,2.49,18.72,23.00%,16,42.20%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,80785392,1966574,PCK,2,2,TIC TAC TWO STRAWBERRY LIME FLAVOUR 38.5GRM,N,,2.49,18.72,23.00%,16,42.20%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,50189779,1015343,PCK,6,1,POLO STANDARD TUBE 34GRM,N,,1.50,13.97,23.00%,32,64.20%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,50251001,1015343,PCK,7,2,POLO SPEARMINT TUBE 34GRM,N,,1.25,13.97,23.00%,32,57.04%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,50251797,1051176,PCK,2,0,POLO SUGAR FREE TUBE 33.4GRM,N,,1.50,13.97,23.00%,32,64.20%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,80799672,1459467,PCK,1,0,TIC TAC CHERRY COLA 18GRM,N,,1.30,13.98,23.00%,24,44.89%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,53997838,1895131,PCK,0,0,RITCHIES EXTRA STRONG MINTS 39GRM,N,,1.00,11.11,23.00%,24,43.06%,N,RIT - H G RITCHIE LTD - 1CB_EURY,
241 - RIALTO - O'LEARY,987694,1904237,PCK,0,0,TIC TAC MIXED 49GRM,N,,2.65,77.50,23.00%,72,50.04%,N,AUTODROP - AUTODROP MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,5099890001940,1937567,PCK,0,0,RITCHIES MINT MOO CHEWS ROLL 38GRM,N,,1.05,11.28,23.00%,20,33.93%,N,RIT - H G RITCHIE LTD - 1CB_EURY,
241 - RIALTO - O'LEARY,50833917,1008737,PCK,0,0,TREBOR EXTRA STRONG MINTS 41GRM,N,,1.75,31.92,23.00%,40,43.91%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,50105090,1008738,PCK,0,0,TREBOR SOFTMINTS ROLL 45GRM,N,,1.75,34.31,23.00%,40,39.71%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,5010511478835,1015347,PCK,0,0,XXX MINT ROLL PACK 40.5GRM,N,,1.65,17.82,23.00%,36,63.10%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,53995735,1015372,PCK,0,0,SILVERMINTS TUBE 38GRM,N,,1.60,31.25,23.00%,36,33.27%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,50105083,1018629,PCK,0,0,TREBOR SPEARMINTS ROLL 44.9GRM,N,,1.75,36.85,23.00%,40,35.25%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,53993816,1209850,PCK,1,0,SILVERMINT TUBE SERIOUSL STR 30GRM,N,,1.60,29.11,23.00%,36,37.84%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,53993793,1213902,PCK,1,0,SILVERMINTS SPEARMINT 30GRM,N,,1.60,30.28,23.00%,36,35.34%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,5391517593075,1327065,PCK,0,0,SILVERMINTS 3 PACK 1PCE,N,,1.00,30.76,23.00%,64,40.88%,N,LAS - LOCAL STORE AMBIENT - 1LOC_SUP,
241 - RIALTO - O'LEARY,5010455063142,1012602,PCK,2,2,HALLS SOOTHERS BLACKCURRANT 45GRM,N,,1.85,16.00,23.00%,20,46.81%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,5010455063135,1012602,PCK,3,3,HALLS SOOTHERS CHERRY PACK 45GRM,N,,1.85,16.00,23.00%,20,46.81%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,50819485,1021204,PCK,1,1,FISHERMANS FRIEND ORIGINAL 25GRM,N,,1.85,25.78,23.00%,24,28.58%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,50985098,1026823,PCK,5,3,HALLS EXTRA STRONG 34GRM,N,,1.85,16.00,23.00%,20,46.81%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,50696925,1026823,PCK,7,4,HALLS ORIGINAL 32GRM,N,,1.85,16.00,23.00%,20,46.81%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,7622210412539,1026823,PCK,9,5,HALLS HONEY AND LEMON 45GRM,N,,1.85,16.00,23.00%,20,46.81%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,50084470,1038366,PCK,0,0,FISHERMANS FRIEND BLACKCURRANT LOZ 25GRM,N,,1.85,25.78,23.00%,24,28.58%,N,UNAVAIL - UNAVAILABLE MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,5000159423090,1067862,PCK,1,1,LOCKETS EXTRA STRONG 43GRM,Y,,1.20,12.69,23.00%,20,34.96%,N,LAS - LOCAL STORE AMBIENT - 1LOC_SUP,
241 - RIALTO - O'LEARY,96091722,1413385,PCK,0,0,FISHERMANS FRIEND HNY/LMN 25GRM,N,,2.80,25.78,23.00%,24,52.81%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,5030104004920,1462367,PCK,0,0,JAKEMANS THROAT & CHEST LOZENAGE PK 45GRM,N,,1.75,17.19,23.00%,20,39.59%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,5030104004944,1462367,PCK,1,1,JAKEMANS HONEY & LEMON STICK PACK 45GRM,N,,1.75,17.19,23.00%,20,39.59%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,1462373,,PCK,0,0,JAKEMANS HONEY&LEMON STICKPACK 41G,N,,1.12,12.00,23.00%,20,34.11%,N,BRM - BR MARKETING LTD - 1LOC_SUP,
241 - RIALTO - O'LEARY,40111568,1505750,PCK,0,0,LOCKETS CRNBRRY&BLBRRY 41GRM,N,,1.20,12.69,23.00%,20,34.96%,N,LAS - LOCAL STORE AMBIENT - 1LOC_SUP,
241 - RIALTO - O'LEARY,5030104005026,1642471,PCK,0,0,JAKEMANS SOOTHING MENTHOL SWEETS,N,,1.12,12.00,23.00%,20,34.11%,N,BRM - BR MARKETING LTD - 1LOC_SUP,
